number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
0,0.8332467532467532,2023-01-31 00:15:06.994440,2023-01-31 00:15:09.044251,0 days 00:00:02.049811,0.5776698721006964,11,1200,11.091571621799027,6,379,0.9043124967621554,COMPLETE
1,0.8332467532467532,2023-01-31 00:15:09.044359,2023-01-31 00:15:11.479442,0 days 00:00:02.435083,0.22585142553234727,3,1100,9.438654851880923,27,1321,0.6438498055327346,COMPLETE
2,0.8332467532467532,2023-01-31 00:15:11.479541,2023-01-31 00:15:13.795562,0 days 00:00:02.316021,0.4292914094260383,2,1400,12.096506396240825,5,579,0.4142504346721147,COMPLETE
3,0.8332467532467532,2023-01-31 00:15:13.795739,2023-01-31 00:15:16.447622,0 days 00:00:02.651883,0.8967839741429502,15,6600,14.853383241918369,19,730,0.7466445492113187,COMPLETE
4,0.8332467532467532,2023-01-31 00:15:16.447743,2023-01-31 00:15:18.985572,0 days 00:00:02.537829,0.3733260719519219,9,6200,7.510997149745941,20,526,0.6203693917827413,COMPLETE
5,0.8332467532467532,2023-01-31 00:15:18.985685,2023-01-31 00:15:21.468718,0 days 00:00:02.483033,0.9335089159403669,6,8600,14.419092341670193,17,66,0.8722953465302563,COMPLETE
6,0.8332467532467532,2023-01-31 00:15:21.468817,2023-01-31 00:15:23.972385,0 days 00:00:02.503568,0.26181860374057475,15,2000,2.5708865187469887,19,502,0.4328257419652678,COMPLETE
7,0.8332467532467532,2023-01-31 00:15:23.972493,2023-01-31 00:15:27.045436,0 days 00:00:03.072943,0.9561649465323467,8,9700,11.90699178281218,23,1164,0.5215816429714926,COMPLETE
8,0.8332467532467532,2023-01-31 00:15:27.045538,2023-01-31 00:15:30.223108,0 days 00:00:03.177570,0.5705418270848753,3,8600,14.55500523663514,25,146,0.36957961853062626,COMPLETE
9,0.8332467532467532,2023-01-31 00:15:30.223218,2023-01-31 00:15:32.253734,0 days 00:00:02.030516,0.8208301977061079,3,4200,14.084637547018032,5,1165,0.9600205900659993,COMPLETE
10,0.8332467532467532,2023-01-31 00:15:32.253833,2023-01-31 00:15:34.717457,0 days 00:00:02.463624,0.7115243205291165,11,3500,4.128656916038776,11,294,0.9947000834746516,COMPLETE
11,0.8332467532467532,2023-01-31 00:15:34.717563,2023-01-31 00:15:37.323653,0 days 00:00:02.606090,0.2399208320853003,-1,300,8.740368763049732,29,1483,0.2464445827924886,COMPLETE
12,0.8332467532467532,2023-01-31 00:15:37.323761,2023-01-31 00:15:39.642169,0 days 00:00:02.318408,0.5523815610221928,12,2600,9.603027445020725,13,1028,0.7491979155691022,COMPLETE
13,0.8332467532467532,2023-01-31 00:15:39.642277,2023-01-31 00:15:42.399112,0 days 00:00:02.756835,0.4489799612037604,7,800,5.5770605954786046,29,896,0.6790031444662156,COMPLETE
14,0.8332467532467532,2023-01-31 00:15:42.399216,2023-01-31 00:15:44.602571,0 days 00:00:02.203355,0.6742527576485658,5,3000,9.915073904131642,9,1403,0.8441163904479909,COMPLETE
15,0.8332467532467532,2023-01-31 00:15:44.602675,2023-01-31 00:15:46.912866,0 days 00:00:02.310191,0.2204492918893629,-1,5000,0.4525181560740297,15,307,0.5710879043973205,COMPLETE
16,0.8332467532467532,2023-01-31 00:15:46.912965,2023-01-31 00:15:49.851942,0 days 00:00:02.938977,0.31646237504860586,11,1500,6.906576245727583,25,796,0.840771664287586,COMPLETE
17,0.8332467532467532,2023-01-31 00:15:49.852057,2023-01-31 00:15:52.237441,0 days 00:00:02.385384,0.4997248476258942,1,4000,11.006669302601418,9,1295,0.7031740991188857,COMPLETE
18,0.8332467532467532,2023-01-31 00:15:52.237568,2023-01-31 00:15:54.935865,0 days 00:00:02.698297,0.36227087192668306,13,200,8.379257425215727,22,338,0.9156623484349311,COMPLETE
19,0.8332467532467532,2023-01-31 00:15:54.935970,2023-01-31 00:15:57.690347,0 days 00:00:02.754377,0.6618843162493895,9,2200,10.694974505824156,26,706,0.8238833625100453,COMPLETE
20,0.8332467532467532,2023-01-31 00:15:57.690458,2023-01-31 00:16:00.082338,0 days 00:00:02.391880,0.4953066168853141,5,5700,12.780424752561833,15,951,0.7847510225608053,COMPLETE
21,0.8332467532467532,2023-01-31 00:16:00.082446,2023-01-31 00:16:02.550194,0 days 00:00:02.467748,0.4027057431613662,2,1400,12.36953218987967,5,600,0.6384861742625281,COMPLETE
22,0.8332467532467532,2023-01-31 00:16:02.550303,2023-01-31 00:16:04.791434,0 days 00:00:02.241131,0.30366109718706863,1,1200,10.946821387348093,7,436,0.550547494402854,COMPLETE
23,0.8332467532467532,2023-01-31 00:16:04.791537,2023-01-31 00:16:06.863673,0 days 00:00:02.072136,0.4294821949846363,4,2900,13.078648372590807,8,636,0.4849408813873253,COMPLETE
24,0.8332467532467532,2023-01-31 00:16:06.863776,2023-01-31 00:16:08.779291,0 days 00:00:01.915515,0.31178714279963143,1,1800,11.773248957706105,11,186,0.616671851994505,COMPLETE
25,0.8332467532467532,2023-01-31 00:16:08.779495,2023-01-31 00:16:10.828846,0 days 00:00:02.049351,0.20534682620961306,6,800,9.713965026395751,6,440,0.687830930512222,COMPLETE
26,0.8332467532467532,2023-01-31 00:16:10.828955,2023-01-31 00:16:13.092703,0 days 00:00:02.263748,0.4742150929695053,0,200,13.536462016179563,12,849,0.38929662367932777,COMPLETE
27,0.8332467532467532,2023-01-31 00:16:13.092805,2023-01-31 00:16:15.380686,0 days 00:00:02.287881,0.3742362215883207,3,3600,11.813205680617612,14,1127,0.9146832092027981,COMPLETE
28,0.8332467532467532,2023-01-31 00:16:15.380794,2023-01-31 00:16:17.587187,0 days 00:00:02.206393,0.535164767701905,9,4700,12.844996277504917,10,611,0.4915247126494313,COMPLETE
29,0.8332467532467532,2023-01-31 00:16:17.587702,2023-01-31 00:16:20.013837,0 days 00:00:02.426135,0.6137491756087672,13,2300,10.514269366115892,17,716,0.5824546967824037,COMPLETE
30,0.8332467532467532,2023-01-31 00:16:20.013949,2023-01-31 00:16:22.008440,0 days 00:00:01.994491,0.4302719579819084,15,7500,8.730884418832558,7,202,0.7746851695613878,COMPLETE
31,0.8332467532467532,2023-01-31 00:16:22.008550,2023-01-31 00:16:24.545702,0 days 00:00:02.537152,0.7335148456272077,14,6400,14.92807117653628,21,480,0.7506523957273644,COMPLETE
32,0.8332467532467532,2023-01-31 00:16:24.545829,2023-01-31 00:16:27.131806,0 days 00:00:02.585977,0.6161861717902357,10,6800,13.771369312543017,27,542,0.6423637450402544,COMPLETE
33,0.8332467532467532,2023-01-31 00:16:27.131912,2023-01-31 00:16:30.050264,0 days 00:00:02.918352,0.8994341028085764,14,7400,13.645032201307396,19,757,0.728839549782774,COMPLETE
34,0.8332467532467532,2023-01-31 00:16:30.050368,2023-01-31 00:16:32.494103,0 days 00:00:02.443735,0.523649115003501,8,5700,11.603701192077317,18,54,0.8041068943660554,COMPLETE
35,0.8332467532467532,2023-01-31 00:16:32.494218,2023-01-31 00:16:34.970794,0 days 00:00:02.476576,0.5760130520416158,12,10000,14.800280302615096,23,543,0.885541889552846,COMPLETE
36,0.8332467532467532,2023-01-31 00:16:34.970905,2023-01-31 00:16:37.936554,0 days 00:00:02.965649,0.2760053117394561,7,900,12.403638021311773,30,370,0.6715520338000287,COMPLETE
37,0.8332467532467532,2023-01-31 00:16:37.936660,2023-01-31 00:16:40.939604,0 days 00:00:03.002944,0.9935221882388872,4,9200,14.066179861210118,24,694,0.5987983879241799,COMPLETE
38,0.8332467532467532,2023-01-31 00:16:40.939718,2023-01-31 00:16:43.515601,0 days 00:00:02.575883,0.7970458236880122,10,8000,13.223467016549886,20,1022,0.996817790464857,COMPLETE
39,0.8332467532467532,2023-01-31 00:16:43.515716,2023-01-31 00:16:45.897447,0 days 00:00:02.381731,0.2509851701682419,2,2000,14.152298702661758,16,1263,0.5379906245782252,COMPLETE
40,0.8332467532467532,2023-01-31 00:16:45.897609,2023-01-31 00:16:47.469435,0 days 00:00:01.571826,0.37105883461802497,15,3200,11.581706775106735,5,840,0.7306346360311538,COMPLETE
41,0.8332467532467532,2023-01-31 00:16:47.469559,2023-01-31 00:16:49.837703,0 days 00:00:02.368144,0.34000903794787307,8,6100,7.723465008028574,20,416,0.6458947893519165,COMPLETE
42,0.8332467532467532,2023-01-31 00:16:49.837813,2023-01-31 00:16:51.969919,0 days 00:00:02.132106,0.27386891187834594,11,7000,10.094435882745598,18,249,0.7005505981617195,COMPLETE
43,0.8332467532467532,2023-01-31 00:16:51.970036,2023-01-31 00:16:54.841711,0 days 00:00:02.871675,0.45959343705313666,10,5300,9.320021432787515,28,529,0.6053423710668252,COMPLETE
44,0.8332467532467532,2023-01-31 00:16:54.841819,2023-01-31 00:16:57.522656,0 days 00:00:02.680837,0.4055268316219337,6,8300,6.62615437082981,23,615,0.2960178835183391,COMPLETE
45,0.8332467532467532,2023-01-31 00:16:57.522777,2023-01-31 00:16:59.925512,0 days 00:00:02.402735,0.5636181628564907,12,4400,9.106209585065788,21,369,0.4460720952138265,COMPLETE
46,0.8332467532467532,2023-01-31 00:16:59.925630,2023-01-31 00:17:02.282919,0 days 00:00:02.357289,0.2364134571225418,9,800,10.232209922111965,17,1464,0.5542398192844905,COMPLETE
47,0.8332467532467532,2023-01-31 00:17:02.283026,2023-01-31 00:17:04.572161,0 days 00:00:02.289135,0.48099858785948746,5,1800,8.139633212005947,25,922,0.8524553359949681,COMPLETE
48,0.8332467532467532,2023-01-31 00:17:04.572291,2023-01-31 00:17:06.717303,0 days 00:00:02.145012,0.516631950391359,7,2500,10.949842756777873,7,659,0.944957899926966,COMPLETE
49,0.8332467532467532,2023-01-31 00:17:06.717423,2023-01-31 00:17:09.622158,0 days 00:00:02.904735,0.3532593376456269,0,6200,9.482366883470148,13,764,0.8129687097125645,COMPLETE
